,Unnamed: 0,CNES,UF,IBGE,NOME,LOGRADOURO,BAIRRO,LATITUDE,LONGITUDE
37,203,9032,35,354990,UBS COLONIAL,RUA JOSE RIBEIRO BASTOS,COLONIAL,-23.179,-45.887
38,204,9040,35,354990,UBS NOVO HORIZONTE,AVENIDA TANCREDO NEVES,PQ NOVO HORIZONTE,-23.179,-45.887
39,205,9059,35,354990,UBS VILA TESOURO,PRACA ASSIS CHATEAUBRIAND,VILA TESOURO,-23.179,-45.887
40,206,9067,35,354990,UBS BUQUIRINHA,RUA JOSE MENDONCA DA COSTA,BUQUIRINHA,-23.179,-45.887
41,207,9075,35,354990,UBS CHACARAS REUNIDAS,PRACA CARIRI,CHACARAS REUNIDAS,-23.179,-45.887
42,209,9156,35,354990,UBS VILA NAIR,RUA SUECIA,VILA LETONIA,-23.2112,-45.88548
43,210,9180,35,354990,UBS BONSUCESSO,ESTRADA DO BONSUCESSO,BONSUCESSO,-23.179,-45.887
44,211,9199,35,354990,UBS JARDIM NOVA DETROIT,RUA JOSE PEDRO,JARDIM NOVA DETROIT,-23.16943,-45.81389
45,212,9229,35,354990,UBS JARDIM ORIENTE,RUA SENJU OTA,JARDIM ORIENTE,-23.179,-45.887
46,213,9261,35,354990,UBS JARDIM AMERICANO,RUA JULIA CURSINO,JARDIM AMERICANO,-23.18026,-45.81178
47,214,9377,35,354990,UBS VILA INDUSTRIAL E TATETUBA,RUA MIZAEL MARCAL,VILA TATETUBA,-23.179,-45.887
48,215,9423,35,354990,UBS JARDIM DAS INDUSTRIAS,RUA PIRASSUNUNGA,JD DAS INDUSTRIAS,-23.22828,-45.91909
49,216,9466,35,354990,UBS PARAISO DO SOL,RUA DR JOAO GOMES BATISTA NETO,PARAISO DO SOL,-23.179,-45.887
50,217,9474,35,354990,UBS PARQUE INTERLAGOS,RUA IBIRAJARA RAIMUNDO DE SOUZA,PARQUE INTERLAGOS,-23.179,-45.887
51,218,9504,35,354990,UBS SAO JUDAS TADEU,AVENIDA SAO NICOLAU,SAO JUDAS TADEU,-23.179,-45.887
52,230,43737,35,351100,PROJETO JUPIA,LINHA JUPIA,REASSENTAMENTO PROJE,-20.872,-51.488
53,295,8990,35,354990,UBS SANTANA,AVENIDA RUI BARBOSA,SANTANA,-23.14942,-45.90462
54,509,9237,35,354990,UBS VILA PAIVA,RUA JOAO PEDRO DA ROCHA,VILA PAIVA,-23.1371,-45.90964
55,658,9202,35,354990,UBS PUTIM,RUA ROBERTO APARECIDO CRUZ,SANTO ONOFRE,-23.24871,-45.83207
56,673,9245,35,354990,UBS LIMOEIRO,RUA CORIFEU DE AZEVEDO MARQUES,LIMOEIRO,-23.23791,-45.93222
57,708,8508,35,354780,UBS DR MOYSES FUCS,RUA ALEXANDRETA,JARDIM SANTO ANTONIO,-23.62826,-46.52236
58,781,25917,35,354990,UBS CAMPOS DE SAO JOSE,RUA DALILA MARQUES MIGUEZ,CAMPOS DE SAO JOSE,-23.179,-45.887
59,782,9024,35,354990,UBS CENTRO II,AV ANCHIETA,JARDIM NOVA AMERICA,-23.19556,-45.90845
60,784,26131,35,353440,UBS JOSE GUIMARAES DE ABREU,RUA ARTELINDA RUGGERI DADDATO,JD CIPAVA,-23.54322,-46.78751
61,813,8532,35,354780,UBS UTINGA,ALAMEDA MEXICO,VILA METALURGICA,-23.62458,-46.53564
62,824,8567,35,354780,UBS JARDIM BOM PASTOR,RUA JOSE DANGELO,JARDIM BOM PASTOR,-23.664,-46.538
63,834,29181,35,354780,UBS JARDIM CIPRESTE,RUA CAMINHO DOS VIANAS,JARDIM CIPRESTE,-23.71438,-46.51459
64,838,29661,35,352430,UNIDADE BASICA DE SAUDE MARGARIDA BRIGATE DOS SANTOS,RUA ADIVINO APARECIDO GONCALVES DE LIMA,PARQUE DAS ARARAS,-21.27782,-48.32942
65,843,8605,35,354780,UBS BAIRRO PARAISO,RUA JUQUIA,JARDIM JAMAICA,-23.67833,-46.53367
66,855,8613,35,354780,UBS VILA PALMARES,PRACA AUREA,VILA PALMARES,-23.664,-46.538
67,859,8648,35,354780,UBS VILA HUMAITA,RUA FERNANDO DE MASCARENHAS,VILA HUMAITA,-23.67299,-46.50199
68,860,8656,35,354780,UBS PARQUE NOVO ORATORIO,RUA TUNISIA,PARQUE ORATORIO,-23.63008,-46.50899
69,861,34991,35,351500,UBS JARDIM MIMAS,RUA CEILAO,JARDIM MIMAS,-23.6198,-46.81559
70,871,8664,35,354780,UBS CIDADE SAO JORGE,AVENIDA SAO PAULO,PARQUE MARAJOARA,-23.66496,-46.49018
71,873,164038,35,353300,EMERGENCIA RESPIRATORIA DE NOVA GRANADA,AV DR HILDEBERTO ALBUQUERQUE FERREIRA,CENTRO,-20.53749,-49.32402
72,874,8680,35,354780,UBS VILA HELENA,AV ANDRADE NEVES,VILA HELENA,-23.674,-46.51761
73,875,39241,35,350860,ESF VILA CARMEM,TRAVESSA RUI BARBOSA,VILA CARMEM,-22.66223,-45.01526
74,888,8699,35,354780,UBS JARDIM IRENE,ESTRADA DA CATA PRETA,VILA JOAO RAMALHO,-23.664,-46.538
75,889,8702,35,354780,UBS JARDIM CARLA,RUA JOSE DE ALENCAR,CONDOMINIO MARACANA,-23.69387,-46.49473
76,890,8710,35,354780,UBS CENTRO DE SAUDE ESCOLA,RUA IRLANDA,PARQUE NOVO ORATORIO,-23.63989,-46.4954
77,892,8788,35,354780,UBS VILA LUZITA,AVN DOM PEDRO I,VILA LUZITA,-23.664,-46.538
78,893,43486,35,353282,UNIDADE PSF BARREIRO,RUA TEOFILA JOVINA DE ALMEIDA,BARREIRO,-24.121,-48.904
79,898,8826,35,354780,UBS JARDIM ALVORADA,RUA DOUTOR ALMENOR JARDIM SILVEIRA,JARDIM ALVORADA,-23.69642,-46.51964
80,899,8850,35,354780,UBS PARQUE ANDREENSE,RUA IBERTIOGA,PARQUE REPRESA BILLI,-23.664,-46.538
81,902,46612,35,353490,ESTRATEGIA SAUDE DA FAMILIA II PACAEMBU,AV STELIO MACHADO LOUREIRO,ESPLANADA,-21.56684,-51.26151
82,931,473383,35,355010,CENTRAL COVID,AVENIDA IRMAS CINTRA,CENTRO,-22.73473,-48.57008
83,939,64203,35,352690,AMBULATORIO DE ESPECIALIDADES DR HELIO MARCIO MAMEDE LIMEIRA,RUA PROFESSORA MARIA EXPEDITA CORDEIRO DA SILVA,RESIDENCIAL RUBI,-22.565,-47.402
84,977,79278,35,352520,UNIDADE BASICA DE SAUDE CENTRAL,RUA JOAO PESSOA,VILA RICA,-23.10563,-46.72962
85,979,80446,35,351360,ESF ALTO DO GOUVEA,RUA EZEQUIEL VAZ DE CAMPOS,ALTO DO GOUVEA,-23.07178,-44.95487
86,984,8354,35,353440,UBS IRMA AGUEDA MARIA JAIME,R ALAGOANA,JAD CONCEICAO,-23.57817,-46.80084
87,985,136913,35,354630,POSTO DE SAUDE PREFEITO AGOSTINHO NINO DEPERON,RUA EDMUNDO ANGELO CHELOTTI,OLGA CALEGARI BENTO,-21.82445,-47.23602
88,1004,411191,35,350950,CENTRO DE SAUDE JARDIM BASSOLI,RUA LEONEL FERREIRA GOMES,JARDIM BASSOLI,-22.96898,-47.20198
89,1010,86185,35,355250,USF VEREADOR MARSAL LOPES ROSA,RUA PROFESSOR JEREMIA,VILA URUPES,-23.54386,-46.29578
90,1013,87297,35,355030,GMT,R LUIZ DOS SANTOS CABRAL,JARDIM ANALIA FRANCO,-23.548,-46.636
91,1014,87718,35,352044,PRONTO ATENDIMENTO DE SINDROMES GRIPAIS,RUA PLANALTO,CENTRO,-20.42982,-51.34205
92,1018,181250,35,351040,CENTRO DE REFERENCIA PARA ATENDIMENTO AO COVID 19,PRACA DR MARIO DIAS DE AGUIAR,VILA DO CARMO,-22.99401,-47.4892
93,1034,2029278,35,351350,UBS VILA DOS PESCADORES DR LAMUEL CAMARGO MARTINS,RUA SANTA JULIA,VILA PESCADORES,-23.92655,-46.40087
94,1035,107298,35,351150,UBS DA FAMILIA VILA SAO JOSE CERQUILHO,RUA BAHIA,VILA SAO JOSE,-23.16387,-47.73522
95,1036,101710,35,355030,SANDEVILLE,AV ALBERT EINSTEIN 627 665 701,JARDIM LEONOR,-23.548,-46.636
96,1043,2032880,35,351350,UBS COTA 95 PINHAL DO MIRANDA,RUA SEIS,PINHAL DO MIRANDA,-23.895,-46.425
97,1044,2042851,35,351350,UBS VILA ESPERANCA,RUA SAO FRANCISCO ASSIS,VILA ESPERANCA,-23.895,-46.425
98,1051,103691,35,350480,E S F DR ANTONIO FERNANDES VALERO,ALAGOAS,SAO GERALDO,-20.73574,-49.57898
99,1057,9415,35,354990,UBS BOSQUE DOS EUCALIPTOS,RUA MARIA PALMIRA FERREIRA IVO,BOSQUE DOS EUCALIPTO,-23.2504,-45.88701
100,1059,2042878,35,351350,UBS JARDIM CARAGUATA,RUA FUED FARAH,JARDIM CARAGUATA,-23.93115,-46.4293
101,1063,106577,35,353475,UBS CELESTINO CARNIELO,RUA ANTONIO MENDES CORADO,CENTRO,-20.001,-50.372
102,1069,107565,35,351440,UBS DR PEDRO BOCCA NETTO,RUA TERENAS,JD CAMPO BELO,-21.22325,-51.84152
103,1070,2042908,35,351350,UBS VILA NATAL ENF JOSE LUIZ E SILVA,RUA DOS CRAVOS,VILA NATAL,-23.89977,-46.4344
104,1074,279617,35,351390,UNIDADE BASICA DE SAUDE DA FAMILIA ANNA NERY,JOAQUIM GARCIA,CENTRO,-21.661,-46.739
105,1080,111406,35,353340,UNIDADE BASICA DE SAUDE VI,RUA AURELIA DE PAULA BELINATI,JARDIM MARAJOARA,-22.778,-47.296
106,1083,2047187,35,351350,UBS ANTONIO JOSE DA COSTA JARDIM SAO FRANCISCO AREA 5,AV MANOEL LEAL,JARDIM SAO FRANCISCO,-23.88127,-46.41407
107,1088,2056704,35,351350,UBS PARQUE DOS TRABALHADORES CSU,AVENIDA SALGADO FILHO,JARDIM COSTA E SILVA,-23.8799,-46.41805
108,1093,2075873,35,351350,UBS COTA 200,ROROVIA ANCHIETA,COTA 200,-23.89235,-46.47303
109,1095,2075881,35,351350,UBS JARDIM NOVA REPUBLICA,AV DEPUTADO ESMERALDO TARQUINIO,JARDIM NOVA REPUBLIC,-23.895,-46.425
110,1097,116076,35,352890,UBS PREF JOSE ERONIS BARBOSA DA SILVA,AVENIDA DAS ORQUIDEAS,CENTRO,-21.79337,-51.17573
111,1098,9105,35,354990,UBS VISTA VERDE,RUA BRASILIA,VISTA VERDE,-23.17647,-45.82203
112,1099,116327,35,355100,CENTRO DE COMBATE AO CORONAVIRUS DE SAO VICENTE,RUA JOAO RAMALHO,CENTRO,-23.96329,-46.38773
113,1100,31089,35,352030,UBS JOSE CARLOS MARTINS RIBEIRO,RUA PAPA JOAO XVIII,CENTRO,-24.71054,-47.55687
114,1105,3128393,35,351350,UBS VALE VERDE MARIANA DIBOS LOPES DOS SANTOS,RUA PAULO ENOS,VALE VERDE,-23.895,-46.425
115,1106,258105,35,352115,CENTRO DE ATENDIMENTO COVID 19,RUA GERALDINA DUTRA SALVADOR,JD HABITACIONAL DIVI,-20.65431,-49.38329
116,1113,3381439,35,351350,UBS 31 DE MARCO ADRIANO DA SILVA GOULART,RUA ANTONIO SIMOES DE ALMEIDA,JD 31 DE MARCO,-23.89045,-46.43012
117,1119,266973,35,351100,UBS SAO LUIS,OUTROS ASSENTAMENTO NOSSA SENHORA APARECIDA II SAO,SAO LUIZ,-20.9866,-51.52966
118,1129,135046,35,352620,USF CONCEICAO,RUA ANTONIO PEREIRA BRANCO,CONCEICAO,-23.9319,-47.068
119,1130,135607,35,354000,UBS VALDIR ALVES PEREIRA,RUA MARIO DE ANDRADE BASTOS,BANDEIRANTES,-22.10401,-50.18486
120,1133,267007,35,351100,UNIDADE BASICA DE SAUDE LUCILA DOS SANTOS TEODORO,RUA MARCELINA DA SILVA GOMES,LARANJEIRAS,-20.872,-51.488
121,1140,145300,35,354760,CENTRO DE ATENDIMENTO DE SINTOMATICOS RESPIRATORIOS,RUA NOVE DE JULHO,CENTRO,-21.473,-47.363
122,1162,152374,35,354280,UNIDADE INTEGRADA DE SAUDE BELARMINA TRAMONTIN BATISTA,RUA DAS AMOREIRAS,VILA ITO,-24.64436,-49.00555
123,1172,157945,35,351440,UBS DR NELSON YURASSECK FILHO,RUA MANOEL PEDRO,CONJ HAB PAULO VEND,-21.483,-51.533
124,1178,163465,35,351640,UBS NEUSA RAMOS ROSSI,RUA CEARA,VILA ELIZA,-23.322,-46.727
125,1188,3007936,35,352650,PENITENCIARIA VEREADOR FREDERICO GEOMETTI DE LAVINIA I,ESTRADA MUNICIPAL LAVINIA TABAJARA,PEROBAL,-21.22366,-51.0988
126,1204,174165,35,353490,ESTRATEGIA SAUDE DA FAMILIA I PACAEMBU,AV STELIO MACHADO LOUREIRO,ESPLANADA,-21.56684,-51.26151
127,1206,174300,35,351310,CENTRO COMUNITARIO DE REF PARA ENFRENTAMENTO A COVID 19,DONA INACIA,CENTRO,-21.33585,-47.73182
128,1215,175560,35,355730,USF 4 ISABEL DE FATIMA LOZANO DE SOUZA,RUA JOAO SBARAI 131,JD ANHUMAS,-22.27452,-46.95763
129,1216,175579,35,355730,USF 5 JOSE PASCOAL ROSALIM,RUA BASILIO ZANCO,JD LUDI,-22.26684,-46.94816
130,1235,177024,35,354150,CENTRO DE TESTAGEM PARA O COVID 19 DE PRESIDENTE VENCESLAU,RUA OLAVO BILAC,VILA TROPICAL,-21.87874,-51.83415
131,1268,180254,35,351020,UNIDADE SENTINELA COVID19,MARECHAL DEODORO,CENTRO,-24.006,-48.349
132,1291,182834,35,355080,CENTRO DE REFERENCIA COVID SSGRAMA,RUA NOVE DE JULHO,CENTRO,-21.70973,-46.82465
133,1292,182877,35,353790,CEPASS COVID 19,RUA PROFESSOR ELOI LACERDA,CAMPO GRANDE,-23.81126,-47.72753
134,1299,183482,35,352470,UBS 11 LAURO ZOIA TANQUINHO VELHO,ESTRADA MUNICIPAL JGR 2540 SANTA CRUZ,TANQUINHO VELHO,-22.706,-46.986
135,1337,191477,35,350190,POLO I COVID 19 SAO DIMAS,RUA AFONSO GEREMIAS,JARDIM SAO DIMAS,-22.701,-46.764
136,1338,191507,35,350190,POLO II COVID 19 CAMANDUCAIA,RUA RODRIGO DE ARRUDA BOTELHO,JARDIM CAMANDUCAIA,-22.701,-46.764
137,1339,191515,35,350190,POLO III COVID 19 CENTRAL,AV DR CARLOS BURGOS,CENTRO,-22.701,-46.764
138,1379,199087,35,350700,UNIDADE BASICA DE SAUDE VICE PREFEITO JOSE NEME,RUA MARIA LUIZA BETTINI CITRONI,RESIDENCIAL AGUA BRA,-23.25623,-47.66811
139,1382,199427,35,353020,ESF DR EXPEDITO SHIZUO KUROCE,RUA DR NOBORU KASAE,CENTRO,-22.292,-51.906
140,1383,7705263,35,351350,UBS VILA NOVA JUVENCIO P DE SOUZA,RUA SAO JOAO,VILA NOVA,-23.89932,-46.42508
141,1394,200786,35,353150,UNIDADE GRIPAL DIA,PRACA NEWTON PRADO,CENTRO,-20.90947,-48.63951
142,1401,204455,35,355090,CENTRO PARA ENFRENTAMENTO A COVID 19 SAO SIMAO,RUA DR NETO LEME,CENTRO,-21.47917,-47.55059
143,1421,208892,35,354490,CENTRO DE ENFRENTAMENTO DO COVID 19 DE SALES OLIVEIRA,RUA CAPITAO VITAL PEREIRA,CENTRO,-20.77173,-47.83702
144,1427,6165745,35,352650,PENITENCIARIA LUIS APARECIDO FERNANDES II DE LAVINIA,ESTRADA MUNICIPAL LAVINIA TABAJARA,PEROBAL,-21.22366,-51.0988
145,1430,7844271,35,351350,UBS MORRO DO INDIO VILA ESPERANCA,AVENIDA PRINCIPAL,VILA ESPERANCA MORRO,-23.89977,-46.4344
146,1435,7844328,35,351350,UBS PILOES,CAMINHO DOS PILOES,PILOES,-23.89341,-46.45735
147,1447,6165818,35,352650,PENITENCIARIA ASP PAULO GUIMARAES III,ESTRADA MUNICIPAL LAVINIA TABAJARA,PEROBAL,-21.22366,-51.0988
148,1450,212997,35,355040,UBS SAO FRANCISCO SAO PEDRO,RUA PEDRO BRAGNHOLO FILHO,RESIDENCIAL SAO FRAN,-22.549,-47.914
149,1457,213632,35,355140,AMBULATORIO COVID 19,RUA CAPITAO REIS,CENTRO,-21.31217,-47.56432
150,1458,213810,35,351050,UBS RIO DO OURO VER JORGE JACINTO DE OLIVEIRA CARAGUATATUBA,AVENIDA AMERICO TIMOTEO DO ROSARIO,RIO DO OURO,-23.60615,-45.42674
151,1472,215856,35,352042,CENTRO DE ATENDIMENTO COVID 19,RUA BOM JESUS DE IGUAPE,SAMBURA,-24.741,-47.54
152,1478,7844344,35,351350,UBS AGUA FRIA,RUA ELIAS ZARZUR,AGUA FRIA,-23.88767,-46.45523
153,1491,8000263,35,351350,UBS VILA SAO JOSE BENEDITA GERTRUDES DOS SANTOS DONA DITA,AVENIDA BANDEIRANTES,VILA SAO JOSE,-23.895,-46.425
154,1535,224979,35,350280,UBS JORGE MALULY NETTO UMUARAMA II,RUA JOAQUIM CANDIDO,UMUARAMA,-21.2134,-50.4074
155,1552,228214,35,353460,UNIDADE BASICA DE SAUDE ZELINDA FERRARESI FRIZON,R SALGADO FILHO,VL PARAIZO,-21.79486,-50.88569
156,1554,7964056,35,354580,UNIDADE BASICA DE SAUDE DR SERGIO MORICAZO MIYAZATO,RUA LETONIA,JD EUROPA IV,-22.72737,-47.37586
157,1559,229601,35,352840,CENTRO DE ATENDIMENTO A COVID 19 DE MAIRINQUE,AVENIDA FRANCISCO DE ASSIS PINTO,CENTRO,-23.546,-47.183
158,1560,229636,35,351100,CENTRO DE ATENDIMENTO COVID,AVENIDA PRESIDENTE VARGAS,CENTRO,-20.872,-51.488
159,1574,242977,35,350630,CENTRO DE ATENDIMENTO COVID,RUA OLIMPIO DA SILVEIRA,CENTRO,-23.01699,-49.47439
160,1583,245909,35,351340,AMBULATORIO COVID 19,JOAQUIM PRADO,CENTRO,-22.57,-44.96
161,1586,246654,35,351020,UNIDADE SENTINELA VILA APARECIDA,AVENIDA ELIAS JORGE DANIEL,VILA APARECIDA,-24.006,-48.349
162,1608,251402,35,350010,UBS JARDIM BRASIL,RUA MINAS GERAIS,JARDIM BRAIL,-21.68741,-51.06526
163,1615,252573,35,351220,SENTINELA UNIDADE DE ATENDIMENTO COVID 19,RUA DAS ANGELICAS,DULCE MARIA,-22.33626,-47.17505
164,1645,258474,35,350250,CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID19 DE APAREC,RUA FRANCISCO PEREIRA RANGEL,SANTA TEREZINHA,-22.847,-45.23
165,1649,259195,35,352740,CENTRO ODONTOLOGICO DE LUCELIA,AV ANTONIO CHAVARELLI,VILA RANCHARIA,,
166,1655,9626824,35,354580,UNIDADE BASICA DE SAUDE RUBENS RIBEIRO,RUA MARIA TEREZA GUARDIANO RIBEIRO,JARDIM DONA REGINA,-22.73323,-47.36661
167,1656,259799,35,352970,UBS VITOR LOURENCO FERREIRA MATTOS,RUA URBANO DE PAULA SOARES,JOSE HENRIQUE BARBOS,-20.18667,-48.02676
168,1659,260150,35,351320,EQUIPE ESTRATEGIA SAUDE FAMILIA CRISTAIS PAULISTA,RUA AGNELO DELFINO BARBOSA,CENTRO,-20.40775,-47.41906
169,1669,262323,35,350750,USF CAIMA RUBIAO JUNIOR BOTUCATU,RUA FRANCISCO DELEVEDOVE NETO,VILA CAIMA,-22.886,-48.445
170,1672,262773,35,350170,UBS MARIA APARECIDA ALVES DONA TITA,RUA RAFAEL HERVIAS RODRIGUES,JARDIM LUIZ OMETTO I,-21.74115,-48.10866
171,1673,263230,35,355030,NOTRE DAME INTERMEDICA SAUDE UNIDADE PINHEIROS,AVENIDA REBOUCAS,PINHEIROS,-23.5706,-46.6909
172,1685,264342,35,355645,SAD VARGEM GRANDE PAULISTA,RUA NAZARE,JARDIM BELA VISTA,-23.60815,-47.01766
173,1699,9210,35,354990,UBS VILA MARIA,RUA SAO PEDRO,VILA MARIA,-23.17613,-45.87887
174,1702,269352,35,353100,CS DE MONCOES,RUA RIO DE JANEIRO,CENTRO,-20.85211,-50.09158
175,1707,404756,35,352670,UBS NELSON BORGES LEME,RUA JOSE DUARTE DE MATTOS,SANTA INES,-22.18142,-47.39319
176,1731,779369,35,353550,CENTRO DE ATENDIMENTO E ENFRENTAMENTO A COVID 19,RUA POLIDORO SIMOES,JARDIM TENIS CLUBE,-22.41295,-50.59361
177,1743,276278,35,351950,UBS MASSAYUKI EZAKI,RUA GENTIL PAES,SILVIO ZIGLIO,-22.8123,-50.07981
178,1761,411116,35,351700,UBS MACUCOS,AVENIDA SANTA MARIA,MACUCOS,-21.74589,-50.10784
179,1763,282596,35,351140,CASA FEMININA ANITA GARIBALDI CASA I,RODOVIA ANTONIO SALIM CURIATI KM 21 5,ZONA RURAL,-23.04913,-49.14258
180,1764,282650,35,351140,CASA JOAO PAULO II,SALIM ANTONIO CURIATI KM 21 500M,AREA RURAL DE CERQUE,-23.04897,-49.14403
181,1777,287636,35,350850,UBS RESIDENCIAL ESPERANCA,RUA EDEUZUITA RIBEIRO GOBI,RESIDENCIAL ESPERANC,-23.12477,-45.72321
182,1782,294012,35,351140,CASA FEMININO CERQUEIRA CESAR,SALIM ANTONIO CURIATI KM 21 500M SP 245,AREA RURAL DE CERQUE,-23.04937,-49.13841
183,1787,297127,35,353080,AMBULATORIO DE OSTOMIA,AVENIDA ADIBI CHAIB,VILA SAO JOSE,-22.43937,-46.95209
184,1796,298085,35,354680,UBS IV JARDIM DAS ACACIAS,RUA MARIA DE LOURDES SAES NUNES,JARDIM DAS ACACIAS,-23.31469,-46.20756
185,1803,301213,35,354730,UBS DIEGO DE LIMA CAMILO,AVENIDA OURO BRANCO,REFUGIO DOS BANDEIRA,-23.41748,-46.95977
186,1805,301620,35,352710,USF CINQUENTENARIO DRA YOUKU KAWAHARA,RUA FAUSTO LONGO BATISTA PEREIRA,JD GUANABARA,-21.68846,-49.75074
187,1830,359793,35,354530,PSF MADALENA,RUA AGENOR TEIXEIRA DE GOES,JARDIM MADALENA,-23.649,-47.573
188,1843,373370,35,352530,UBS JARDIM SAO JOSE,ANGELO VERONEZI,JARDIM SAO JOSE,-22.296,-48.558
189,1845,382523,35,355400,ESF JARDINS ADRIANA MESQUITA TIBELLIO MOTA TATUI SP,JOAO FERRAZ FIUZA,JARDINS DE TATUI,-23.356,-47.857
190,1846,376736,35,354780,COSB CENTRO DE ORTODONTIA,RUA CAMPOS SALES,CENTRO,-23.65828,-46.52407
